"Club";"Barra";"Titulo";"Letra"
"atletico platense";"la banda mas fiel";"vamos calamares vamos a volver";"desde pendejo yo siempre te sigo de la camiseta yo me enamoré la gente ya sabe que sos de primera por eso este año vamos a volver nosotros sabemos que estamo´ en las malas las buenas muy pronto ya van a venir por eso te pido que dejes la vida porque toda tu gente quiere festejar…. vamos calamares vamos a volver que te queda chica la “b” y a primera vamo´ a volver (x2) yo soy de saavedra soy del calamar (x2) llora la quema y la paternal (x2).."
"atletico platense";"la banda mas fiel";"vengo del barrio de saavedra";"vengo del barrio de saavedra!! barrio de murga y carnaval!! barrio q sueña con la vuelta en las malas siempre te va alentar dale dale calamar ponga huevo y corazón está hinchada se merece ser campeón en las buenas vamo a estar!!en la malas mucho más!! y le vamos a quemar la paternal!!"
"atletico platense";"la banda mas fiel";"y dale alegria alegria a mi corazon";"y dale alegria alegria a mi corazon lo unico que te pido ganemos hoy el campeonato local es mi obsesion tenes que dejar el alma y el corazon ya vas a ver que para cruzar el puente hay que correr"
"atletico platense";"la banda mas fiel";"yo soy de saavedra vago y atorrante";"yo soy de saavedra vago y atorrante lo sigo a platense a todas partes yo no soy quemero tampoco funebrero que siempre aguanto en patrullero es la banda la más fiel de la argentina la que consume marihuana y cocaina la que siempre aguanto en todos lados la que corre a los de tigre con el gallo"
"colon";"los de siempre";"aca esta tu hinchada";"te viene a ver te va aguantar esos colores hasta el final te viene a ver te va a seguir siempre fiel hasta a morir aca esta tu hinchada la que siempre da todo y sin esperar nada alienta al sabalero y en las buenas y las malas esta presente y nunca va a abandonaaaaaaaaaaaaar"
"colon";"los de siempre";"ah eh eh ah yo soy sabalero";NA
"colon";"los de siempre";"como es costumbre fue la negrada";"esta historia hace poco pasó (dale colón) aquella tarde en el metegol (dale colón) como es costumbre fue la negrada (dale dale dale dale ne) copando la tribuna metiendolé caravana yo no me olvido de la pujato (dale colón) vacía y con tirantes de nylon (dale colón) t*atengue puto vos sos ortiva (dale dale dale dale ne) mandaste a la policía que meta tiro y reprima t*te sos cagón botón y vigilante mandaste a la yuta porque vos no te plantaste y no te olvides la fiesta que metimos no importa el resultado en las tribunas los cogimos"
"colon";"los de siempre";"el negro es un sentimiento que se lleva en el corazon";"yo te quiero sabalero y siempre te voy a seguir yo voy a cualquier cancha yo voy donde vos quieras ir el negro es un sentimiento que se lleva en el corazón yo te juro que daría la vida por verte una vez campeón ooo"
"colon";"los de siempre";"es un sentimiento";"yo soy del negro es un sentimiento que no puedo parar ole ole ole ole ole ole ola ole ole ole cada dia te quiero mas..."
"colon";"los de siempre";"esta ciudad vibra por vos";"esta ciudad vibra por vos este es el pueblo de colón que siempre alienta a esta hinchada nunca le importó que el sabalero nunca salga campeón se bancó mucho' año' en la b y también jugar en la c siempre fiel a la camiseta el rojo y negro es ese amor colores de mi corazón que se llevan hasta el cajón ya lo sabes dónde jugués en cualquiér cancha te vengo a ver en la tribuna vamos a estar 90 minutos sin parar de alentar"
"colon";"los de siempre";"mira que banda loca la del sabale";"mira que banda loca la del sabale te vinimos a ver te vinimos a alentar preparate tantengue q te vamos a matar"
"colon";"los de siempre";"sabalero de la cuna";"ponga huevos sabalero que tu hinchada va a alentar con los bombos y los trapos por la 11 vamo' a andar yo soy sabalero de la cuna dejo el alma en la tribuna dejo el alma en la tribuna y doy la vida por vos dale colón a todas partes yo voy con vos y yo te sigo fumando porro y tomando vino dale colón ponga huevo de corazón porque esta hinchada se merece ser campeón"
"colon";"los de siempre";"sabalero hoy te vinimos a ver";"sabalero hoy te vinimos a ver pongan huevos hoy no podes perder te llevamos dentro del corazon esta hinchada se merece ser campeon"
"colon";"los de siempre";"siempre el cementerio es una fiesta";"siempre el cementerio es una fiesta el sabalero te pone de la cabeza yo voy re loco porque nada me interesa te voy a alentar hasta que me muera nadie está a salvo de esta locura feliz me siento cuándo estoy en la tribuna dónde de chico me enseñaron a quererte por eso este amor va a ser para siempre a dónde vayas descontrolado al sabalero yo lo sigo a todos lados suenan los bombos brillan los trapos y vos t*tengue date cuenta que ya no existís nosotros copamo' el chateau y rosario la negrada ya lo demostró en esta ciudad el dueño es colón"
