"Club";"Barra";"Titulo";"Letra"
"racing club";"la guardia imperial";"a racing lo hace grande su gente";"aun que sean los campeones el rojo ya lo demonstró el sentimiento no cambia vos sos amargo y cagón siempre estuvimos en las malas las buenas ya van a venir a racing lo hace grande su gente y vos no existis  ooh oh!"
"racing club";"la guardia imperial";"aca esta la gloriosa banda de la academia";"aca esta la gloriosa banda de la academia la que va a todas partes la que siempre te alienta a pesar de los años los momentos vividos siempre estare a tu lado racing racing querido racing racing querido."
"racing club";"la guardia imperial";"academia te llevo en el corazon";"academia te llevo en el corazon en cualquier cancha que juegues voy con vos no me importa si perdes o si ganas academia cada ves te quiero mas vamo' acade vamo' a ganar avellaneda es carnaval donde jugues yo voy a estar esta es la guardia imperial"
"racing club";"la guardia imperial";"brillara blanca y celeste";"esta es la numero uno que te sigue a todas partes siempre con sus estandartes y un grito de corazón racing campeón racing campeón desde el este y el oeste en el norte y en el sur brillara blanca y celeste la academia racing club y la acade y la acade"
"racing club";"la guardia imperial";"cada dia que pasa mi amor por vos es mas grande";"nadie comprende que yo venga a alentarte cada día que pasa mi amor por vos es mas grande racing se lleva en el alma no puede dejarse y me voy a quedar en la cancha solo pa' alentarte"
"racing club";"la guardia imperial";"como esta hinchada loca seguro que no hay";"que alegria que alegria ole ole ola vamos racing todavia que estas para ganar como esta hinchada loca seguro que no hay te sigue a todas partes te alienta hasta el final porque tenemo aguante aguante de verdad es la numero uno es la guardia imperial"
"racing club";"la guardia imperial";"de pendejo te sigo";"de pendejo te sigo junto a racing siempre a todos lados nos bancamos una quiebra el descenso y fuimos alquilados no me olvido ese día que una vieja chiflada decía que racing no existía que tenía que ser liquidado si llenamos nuestra cancha y no jugamos ohoo ohoo defendimos del remate nuestra sede ohoo ohoo si la nuestra es una hinchada diferente no es amarga como la de independiente ohoo ohoo los bosteros san lorenzo y las gallinas ohoo ohoo nunca llenaron dos canchas el mismo día ohoo ohoo y a vos independiente yo te digo vos sos amargo y pecho frío vos sos amargo y tiratiros"
"racing club";"la guardia imperial";"esta es la guardia imperial";"academia te llevo en el corazon en cualquier cancha que juegues voy con vos no me importa si perdes o si ganas la academia cada vez te quiero mas vamo acade vamo a ganar avellaneda es carnaval donde jugues yo voy a estar esta es la guardia imperial"
"racing club";"la guardia imperial";"hay que gritar senor hay que gritar";"hay que gritar señor hay que gritar! hay que gritar señor hay que gritar! hay que gritar señor hay que gritar! y vamos vamos racing  que tenemos que ganar!"
"racing club";"la guardia imperial";"la cancha de cemento ya la vas a tener";"la cancha de cemento ya la vas a tener y alla en el bajo flores vas a correr tambien eso no cambia nada vas a morir cagon... lo dice la academia  que siempre te corrio... que alegria que alegria ole ole ola... vamos racing todabia qué estas para ganar "
"racing club";"la guardia imperial";"la locura de la droga y descontrol";"no me arrepiento de este amor  aunque me cueste el corazón  llevo la camiseta en la piel  yo voy a morir por la acade. cuando venga river plate  le vamos a demostrar  que racing se la aguanta de verdad  camina sin custodia policial rojo vos no tenes huevos  no te la bancas sin fierros  sos igual que san lorenzo sos cagón y aunque no demos la vuelta  racing siempre es una fiesta  la locura de la droga y descontrol"
"racing club";"la guardia imperial";"llega el domingo yo te vengo a ver";"llega el domingo yo te vengo a ver yo soy desde pendejo hincha de la acadé cada partido me vuelvo a enamorar llega el domingo todo vuelve a empezar no se por que te quiero asi racing sos mi alegría racing me hace sentir todo ese amor esa ilusion la de toda la gente que te quiere campeon"
"racing club";"la guardia imperial";"me muero de amor cuando juega racing";"me muero de amor cuando juega racing no me importa nada yo vengo por vos para esta pasión no alcanza una cancha la número 1 ya lo demostró cómo olvidar cuando te fuiste a la b cómo olvidar que al rojo yo lo velé si tu gente ya estuvo en las malas en las buenas esto no se compará vamos la acadé quiero la vuelta otra vez... y vamo acade......"
"racing club";"la guardia imperial";"mire senora ay que poronga";"mire señora ay que poronga esa es la cancha de julio grondona mire el estadio de la academia el coliseo siempre está de fiesta rojo para que queres tener estadio para mas gente si no lo vas a llenar no te olvides que sos independiente rojo entendé que la academia es capo de avellaneda no como vos rojo te vas andate a wilde y no vuelvas mas"
"racing club";"la guardia imperial";"muchachos traigan vino juega la acade";"los momentos que vivi todo lo que yo deje por seguir a la academia nadie lo puede entender yo no se como explicar que te llevo hasta en la piel sos la droga que en las venas me inyectaron al nacer"
"racing club";"la guardia imperial";"nadie comprende";"nadie comprende qe yo venga a alentarte cada dia qe pasa mi amor por vos es mas grande racing se lleva en el alma no puede dejarse y me voy a qedar en la cancha solo pa alentarte racing es una pasion inexplicable el veneno qe corre en mis venas qe llevo en la sangre la enfermedad mortal qe no qiero curarme sos la droga qe le pido a dios qe nunca me falte pongan huevo qiero un campeonato qe cieerre mi herida hay hay hay hay amor amor racing de mi vida racing te qiero ver campeon dame esa alegria"
"racing club";"la guardia imperial";"no me arrepiento de este amor";"no me arrepiento de este amor aunque me cueste el corazón llevo la camiseta en la piel yo voy a morir por la acade."
"racing club";"la guardia imperial";"para venir a racing se necesita un poco de locura";"la academia carajo la academia carajo la academia carajo la academia para venir a racing silbidos para venir a racing se necesita un poco de locura silbidos un poco de locura y otra cosita ahi arriba ahi arriba silbidos ahi arriba ahi arriba ahi arriba iré por la acade por la acade silbidos"
"racing club";"la guardia imperial";"racing se metio adentro de mi corazon";"racing se metio adentro de mi corazon y nunca va a salir te voy a seguir hasta el fin ni la muerte podra de tener toda esta pasion no se como explicar que solo vivo por vos vamos la acedemia que tenemos que ganar la banda esta de fiesta y nunca te va abandonar"
"racing club";"la guardia imperial";"se viene racing campeon";"yo soy de una banda loca muy conocida del mundo entero yo te sigo a todas partes me chupa un huevo si estoy primero este año estamo re loco vamo a copar toda la argentina con bombos con estandartes tomando vino y cocaina es tradicion de mi pueblo no ser amargo no ser boton al rojo se lo dedico no a la violencia sos un cagon se viene racing campeon racing campeon racing capeon se viene racing campeon racing campeon racing capeon se viene racing campeon racing campeon racing capeon se viene racing campeon racing campeon racing capeon"
"racing club";"la guardia imperial";"soy de racing de pendejo soy del cuadro de mi viejo";"soy de racing de pendejo soy del cuadro de mi viejo porque vos sos la alegria la pasion de cada dia no existe nada como esta hinchada la que te alienta en las buenas y en las malas"
"racing club";"la guardia imperial";"tenes que salir campeon este es el ano";"tenés que salir campeón este es el año  ustedes poniendo huevo y yo alentando hace mucho tiempo qe la vuelta yo quiero dar este año academia no me podes fallar vamoo acadeeeee vamo acadee vamoo acaadeeee vamoo acaadee"
"racing club";"la guardia imperial";"todos los domingos cuelgo la bandera";"todos los domingos cuelgo la bandera voy a ver a racing en avellaneda yo lo llevo adentro de mi corazon porque la academia va a salir campeon me siento bien y yo tambien me siento bien y yo tambien vamos la academia me siento bien boca boton boca boton boca boton boca boton este año racing sale campeon"
"racing club";"la guardia imperial";"un dia me preguntaron que es lo que queria";"un dia me preguntaron que es lo que queria les conteste que racing el domingo me de una alegria para poder festejar con toda esta gente con un campeonato volverme a ilusionar y otra vez 2 canchas llenar todos los del rojo se quisieron matar cuando se fue al descenso le hicimo un funeral no traten de comprender este sentimiento no se como explicar que solo vivo por vos por un minuto en la tribuna doy todo lo que tengo por un minuto en la tribuna y ver a racing campeon"
"racing club";"la guardia imperial";"vamo acade vamo a ganar";"y vamos la academia yo te sigo yo te quiero para salir primeros hay poner mas huevos y correrlo al rojo de nuevo por amargo y por cagon y no me importa nada lo que digan los bosteros las gallinas los del cuervo y esos putos quemeros y correrlo al rojo de nuevo por amargo y por cagon vamo acade vamo a ganar donde jugues yo voy a estar vamo acade vamo a ganar cuidate rojo (puto) vas a cobrar"
"racing club";"la guardia imperial";"visitante o de local fumando porro tomando vino";"de visitante o de local fumando porro tomando vino el que no alienta a racing para que carajo vino no tengo un mango me voy igual..."
"racing club";"la guardia imperial";"y dale alegria a mi corazon";"y dale alegría alegría a mi corazón.. el rojo tiraba tiros porque es cagon decían que el bajo flores iban a copar y terminaron corriendo para waltmart que vas hacer? si se te acaban las balas vas a correr asi sos vos el rojo tocaba timbre en los monoblock"
"racing club";"la guardia imperial";"yo paro en un banda";"yo paro en un banda que es la mas loca de todas que sigue siempre a racing con el vino y con la droga... para salir primeros hay que poner mas huevos huevos vamos a ir a la boca y la vamos a prender fuego fuego "
"racing club";"la guardia imperial";"yo quisiera ver a boca unos anos en la b";"todos los de la boca son todos putos...putos... que para racing nunca quieren venir nosotros vamos a ir a la bombonera...sucia... y otro bostero puto se va morir yo quisiera ver a boca unos años en la ""b"" y que tenga una banda como la de acade que te sigue a toda parte se la banca adonde va aunque vos ganes o pierdas cada vez te quiero más."
"racing club";"la guardia imperial";"yo se como van yo se como vienen";"yo se como van yo se como vienen si vas a la cancha vas en celular si vos sos amigo de toda la yuta y con la academia vos no te plantas. ay independiente que risa me das te corrió la guardia imperial  fueron todos al hospital  ay independiente que puto que sos todos saben que sos cagón todos saben que sos botón independiente puto fue al hospital independiente puto fue al funeral"
"racing club";"la guardia imperial";"yo te quiero la acade";"yo te quiero la acade yo te sigo vos sos mi vida siempre te voy a alentar somos la 1 de la argentina vayas a donde vayas esta es la hinchada que siempre alienta vamo’ acade vamo’ a ganar que la banda está de fiesta vamo’ acade no falles a tu hinchada la que te sigue en las buenas y en las malas vamo’ acade con huevo vaya al frente no somo’ amargo como es independiente yo soy así a racing yo lo quiero vamo’ a matar a todos los bosteros ..."
"boca juniors";"la 12";"a boca lo llevo en la sangre";"soy del barrio de la boca y siempre te voy a seguir en las malas a todas partes las buenas ya van a venir no somos como la academia no somos como el ciclon a boca lo llevo en la sangre lo llevo en el corazon"
"boca juniors";"la 12";"al gallinero ya se lo prendimos fuego";"al gallinero ya se lo prendimos fuego...  a san lorenzo lo corrimos en boedo  a avellaneda lo defiende un policia...  hay que putas que son las hinchadas unidas...  quiero que sepan que el xeneise es mi alegria...  aunque no entiendan que por boca doy la vida...  cuando me muera no quiero nada de flores... yo quiero un trapo que tenga esos colores..."
"boca juniors";"la 12";"antes que se vayas al descenso";"antes que se vayas al descenso vamos a quemar el gallinero mi vida no es igual si te vas a la b como te voy a extrañar gallina no volves más."
"boca juniors";"la 12";"baila la hinchada baila";"baila la hinchada baila baila de corazon suben y bajan suben y bajan parecen ascensor"
"boca juniors";"la 12";"boca de mi vida";"boca boca de mi vida  vos sos la alegría  de mi corazón  sabes todo lo que siento  te llevo aca adentro  de mi corazón"
"boca juniors";"la 12";"boca juniors hoy te vinimo a ver";"boca juniors hoy te vinimo a ver ponga huevo hoy no podes perder te llevamos dentro del corazón y la 12 quiere que salgas campeón..."
"boca juniors";"la 12";"boca locura";"boca locura que tenemos aguante no hay duda boca te quiero antes de ser gallina yo me muero vamos vamos xeneize te vinimos a ver la 12 esta reloca no podemos perder"
"boca juniors";"la 12";"boca mi bueno amigo";"boca mi buen amigo esta campaña volveremos a estar contigo  te alentaremos de corazón  esta es tu hinchada que te quiere ver campeón  no me importa lo que digan  lo que digan los demás  yo te sigo a todas partes cada vez te quiero más"
"boca juniors";"la 12";"boca mi vida es alegria";"boca mi vida es alegria sos los mas grandes de la argentina corre al racing y a las gallinas corre los cuervos y a la policia dale boo dale bo dale booo dale boooooo"
"boca juniors";"la 12";"boca ya salio campeon";"boca ya salió campeón... boca ya salió campeón  se lo dedicamos a todos  la re puta madre que los re pario...."
"boca juniors";"la 12";"bostero soy y boca es la alegria de mi corazon";"bostero soy y boca es la alegria de mi corazon sos mi vida vos sos la pasión mas allá de toda explicación y a mi no me interesa en que cancha jugues local o visitante yo te vengo a ver ni la muerte nos va a separar desde el cielo te voy a alentar"
"boca juniors";"la 12";"cantitos para racing";"academia vigilante acá en avellaneda la yuta es tu aguante. racing botón! racing botón! racing botón! racing botón! con el machete en la mano la chapa en el corazón! serás siempre vigilante! la academia racing club"
"boca juniors";"la 12";"como me voy a olvidar";"como me voy a olvidar  gallina puta lo que te espera  como me voy a olvidar  vas a morir en la bombonera  es mi ilusión volver a verte  para volver a correrte  una vez más vas a cobrar  y no te salva ni toda federal"
"boca juniors";"la 12";"como no voy a ser";"como no voy a ser como no voy a ser hincha de boca vago y atorrante como no voy a ser como no voy a ser soy de boca y tengo aguante!"
"boca juniors";"la 12";"como te va riber como te va";"como te va riber como te va gallina puta te saluda tu papa aguante no tenes siempre corres y las finales las miras por la tv"
"boca juniors";"la 12";"cuando me muera no quiero nada de flores";"al gallinero ya se lo prendimos fuego a san lorenzo lo corrimos en boedo a avellaneda lo defiendo un policía hay que puta que son las hinchadas unidas quiero que sepan que el xeneize es mi alegría aunque no entiendan yo por boca doy la vida cuando me muera no quiero nada de flores yo quiero un trapo que tenga estos colores y dale dale dale dale dale bo y dale dale dale dale dale bo y dale dale dale dale dale bo y dale dale dale dale dale bo"
"boca juniors";"la 12";"cuando vas a la cancha";"cuando vas a la cancha vas con el patrullero vos no tenés aguante gallina vigilante siempre hiciste amistades con el rojo y el tercero te vamo' a matar y la doce que siempre está donde jugués te va a alentar y dale bo vamo' a ganar que la vuelta queremos dar"
"boca juniors";"la 12";"dale boca dale bo";"dale boca dale bo dale bo dale bo dale boca dale bo"
"boca juniors";"la 12";"dale boca que no ha pasado nada";"dale bo dale bo dale bo dale boca que no ha pasado nada con los huevos del equipo y los huevos de la hinchada dale boca que vamos a ganar"
"boca juniors";"la 12";"el trapo de di carlo";"que alegria que alegria ole ole ola vamos boca todavia que estas para ganar corriste en mar del plata de eso no te olvides el trapo de di carlo nunca lo vas a ver la boca es alegria la boca es carnaval vamos a correr a river en el monumental."
"boca juniors";"la 12";"en la boca va a haber un cementerio de gallinas";"los vamos a matar los vamos a matar no va a quedar ni una gallina viva en la boca va a haber en la boca va a haber un cementerio de gallinas."
"boca juniors";"la 12";"esta es la 12 si senores";"esta es la 12 si señores esta es la banda que va al frente la que corre a independiente y a los putos de ciclón y no me importa donde juegues ni toda la federal preparate millonario que te vamos a matar"
"boca juniors";"la 12";"esta es la numero 12";"esta es la numero 12 que te sigue a todas partes  la que corre a san lorenzo la academia riber pleei  esta hinchada siempre alienta aunque ganes aunque pierdas  boca es un sentimiento que no se puede explicar  vamos boca juniors que tenes que ganar  y de la cabeza la vuelta vamo a dar  y descontrolados vamo a festejar  vamos a festejaaar! <U+266B> <U+266B> boooca boca boca booocaaaaaaaa!"
"boca juniors";"la 12";"esta es la numero 12 que te sigue a todas partes";"esta es la numero 12 que te sigue a todas partes  la que corre a san lorenzo la academia riber pleei  esta hinchada siempre alienta aunque ganes aunque pierdas  boca es un sentimiento que no se puede explicar  vamos boca juniors que tenes que ganar  y de la cabeza la vuelta vamo a dar  y descontrolados vamo a festejar  vamos a festejaaar! <U+266B> <U+266B> boooca boca boca booocaaaaaaaa!"
"boca juniors";"la 12";"esta hinchada siempre alienta";"esta es la número 12 qué te sigue a todas partes la que corre a san lorenzo la academia y riber plate esta hinchada siempre alienta aunque ganes aunque pierdas boca es un sentimiento que no se puede explicar vamos boca juniors que tenés que ganar y de la cabeza la vuelta vamos a dar y descontrolado vamo a festejar vamos a festejar..."
"boca juniors";"la 12";"este ano volvemos a japon";"en el barrio de la ribera  lo sigo a boca a donde sea  de la cuna hasta el cajón  nadie entiende este sentimiento que siento por vos  donde juegues yo voy a estar  por eso aliento  hoy tenes que ganar  otra copa quiero festejar  ponga huevo campeón  que este año volvemo' a japón"
"boca juniors";"la 12";"gallina esa mancha no se borra mas";"gallina esa mancha no se borra más  vos te fuiste al descenso  quemando el monumental  gallina siempre te vamo' a recordar  en la boca abandonaste..  lo ganaste en paraguay  boca vos sos mi pasión  la alegría que me das  no se compara con nada  cada vez te quiero más  él que nunca descendió  él que más copa lo ganó  el que llena en todos lados  de la boca hasta japón  no chamuyes riber plate ¿en octavos qué paso?  te falto el segundo tiempo porque vos sos un cagón"
"boca juniors";"la 12";"gallina puta te saluda tu papa";"cómo te va riveeer cómo te va? gallina puta te saluda tu papá aguante no tenéeees siempre corrés y las finales las mirás por la tv"
"boca juniors";"la 12";"la copa libertadores es mi obsesion";"y dale alegria alegria a mi corazon lo unico que te pido ganemos hoy la copa libertadores es mi obsesion tenes que dejar el alma y el corazon ya vas a ver no somos como los putos de river plate"
"boca juniors";"la 12";"las gallinas son asi";"las gallinas son así son las amargas de la argentina cuando no salen campeón esas tribunas están vacías yo soy de boca señor cantemos todos con alegría aunque no salgas campeón el sentimiento no se termina y dale bo y dale dale boca y dale bo y dale dale bo y dale bo y dale dale boca y dale booooooooo y dale dale bo"
"boca juniors";"la 12";"llora riber porque descendio";"yo sigo al xeneize por amor boca juniors me robaste el corazón mucha gente nunca va a entender a boca se lo lleva adentro de la piel sos mi vida sos mi enfermedad sos la droga que yo no puedo dejar porque nunca te abandonare cuando me muera desde el cielo yo te alentaré yo te alentaré llora riber porque descendió sufre porque es cagón! me pregunto qué sintió jugar jugar todo el año en el nacional en el nacional"
"boca juniors";"la 12";"llora river el ciclon y la academia";"vamos los bosteros vamos vamos los bosteros  vamos los bosteros yo te sigo yo te quiero   soy de boca porque tenemos aguante  y no hay ninguna hinchada que a la 12 se le plante  llora river el ciclon y la academia  porque saben que este año los bosteros dan la vuelta"
"boca juniors";"la 12";"movete xeneize movete";"movete xeneize movete   movete deja de joder.  esta hinchada esta loca   hoy no podemos perder!"
"boca juniors";"la 12";"muchas cosas nos separan";"los domingos en la cancha  esta hinchada esta re loca  no me importa donde vayas  solo quiero... ver a boca !  muchas cosas nos separan...  che gallina hija de puta  siempre hiciste amistades...  y tu aguante... es la yuta !  y river plei  no para de correr  siempre me chamuya  y nunca te planta  yo te prometo que...  nos vamos a encontrar  y te vamo a matar... ! "
"boca juniors";"la 12";"muchas veces fui preso y muchas veces llore por vos";"muchas veces fui preso y muchas veces llore por vos yo a boca lo quiero y lo llevo a adentro del corazon."
"boca juniors";"la 12";"nadie quiere venir en la bombonera";"vamos boca juniors sabés que yo te quiero siempre voy con vos es un sentimiento aca esta la 12 la que siempre te acompaña la que esta en las buenas y en las malas que paso con el fantasma del decenso que paso con las gallinas y san lorenzo nadie quiere venir en la bombonera preguntale a los putos de avellaneda"
"boca juniors";"la 12";"ni la muerte nos va a separar";"bostero soy y boca es la alegría de mi corazon sos mi vida sos mi pasion mas allá de todas explicacion a mi no me interesa en que cancha juegues local o visitante yo te vengo a ver ni la muerte nos va a separar desde el cielo te voy alentar"
"boca juniors";"la 12";"nosotros alentamos pongan huevos que ganamos";"nosotros alentamos ohhh nosotros alentamos ohhh pongan huevos que ganamos ohhh"
"boca juniors";"la 12";"nunca hicimos amistades";"nunca hicimos amistades... nunca las vamos a hacer... amistades hacen los putos... que no paran de correr"
"boca juniors";"la 12";"para ser campeon hoy hay que ganar";"hoy te vinimo a alentar para ser campeón hoy hay que ganar dale dale dale bo"
"boca juniors";"la 12";"para todas las gallinas el regalo de papa";"ya se acerca noche buena ya se acerca navidad para todas las gallinas el regalo de papá"
"boca juniors";"la 12";"pasan los anos jugadores y tambien campeonatos";"señores yo soy de boca  y lo sigo a todos lados  no importa donde jueges t voy a alantar  pasan los años jugadores y tambien campeonatos  mi sentimiento nunca va a terminar  y vamos boca no podemos perder  y vamos boca que tenes q ganar  daria la vida por un campeonato  una vuelta mas"
"boca juniors";"la 12";"podran imitarnos pero jamaspero jamas nos van a igualar";"otra otra vuelta boca otra otra vuelta boca sabes que siempre te vengo a ver xeneize hay que poner mas huevo no podes perder hay que ganar esta es tu hinchada que te va a alentar en las buenas y en las malas hasta el final podrán imitarnos pero jamás pero jamás nos van a igualar "
"boca juniors";"la 12";"por que sera";"por que será que te sigo a todas partes campeón por que será que no se vivir  carnaval toda la vida y el xeneize la pasión  si no te veo se me parte el corazón"
"boca juniors";"la 12";"que paso con el fantasma del descenso";"vamos boca juniors sabés que yo te quiero siempre voy con vos es un sentimiento aca esta la 12 la que siempre te acompaña la que esta en las buenas y en las malas que paso con el fantasma del descenso que paso con las gallinas y san lorenzo nadie quiere venir en la bombonera preguntale a los putos de avellaneda"
"boca juniors";"la 12";"queremos la copa";"dale dale bo!!! queremos la copa la 12 esta loca y quiere un campeonato para festejar ponga huevo xeneizes hoy no podemos perder"
"boca juniors";"la 12";"quiero quemar el gallinero";"quiero quemar el gallinero que se mueran los cuervos y la guardia imperial vamos xeneize con huevo valla al frente te lo pide la gente no para de alentar pasan los años pasan los jugadores la 12 está presente y no para de alentar por eso yo te quiero dar boca mi corazón yo te sigo a todas partes gracias por salir campeón vos vas a cobrar river sos un cagón esos no son los borrachos son los putos del tablón"
"boca juniors";"la 12";"racing boton";"racing botón! racing botón! racing botón! racing botón! con el machete en la mano la chapa en el corazón! serás siempre vigilante! la academia racing club racing botón! racing botón! racing botón! racing botón!"
"boca juniors";"la 12";"racing va a correr la yuta tambien";"es una noche especial no se la valla a perder racing va a correr la yuta tambien"
"boca juniors";"la 12";"river decime que se siente";"river decime que se siente haber jugado el nacional te juro que aunque pasen los años nunca nos vamos a olvidar que te fuiste a la b quemaste el monumental esa mancha no se borra nunca mas che gallina sos cagón le pegaste a un jugador que cobarde los borrachos del tablón"
"boca juniors";"la 12";"senores soy de boca y lo sigo a todos lados";"señores soy de boca y lo sigo a todos lados y no me importa donde juegues te voy a alentar pasan los años jugadores y tambien campeonatos el sentimiento nunca va a terminar y vamos boca no podemos perder y vamos boca que tenes que ganar daria la vida por un campeonato una vuelta mas"
"boca juniors";"la 12";"senores yo dejo todo me voy a ver a boca";"señores yo dejo todo... me voy a ver a boca por q sus jugadores me van a demostrar que salen a ganar quieren salir campeon q lo llevan adentro como lo llevo yo..."
"boca juniors";"la 12";"sera siempre independiente un vigilante y boton";"con el machete en la mano !  y la chapa en el corazon !  sera siempre independiente un vigilante y boton!  rojo boton rojo boton  rojo boton rojo boton  rojo boton rojo botoon  rojo botoon rojo boton boton boton ! "
"boca juniors";"la 12";"si quieren ver fiesta vengan a la 12";"si quieren ver fiesta vengan a la 12 porque esta es la hinchada mas loca que hay con bombo y trompetas todas sus banderas todos lo borrachos  se quieren matar vamos los xeneizes vamos a ganar esta es tu hinchada que te va a alentar vamos los xeneizes no podes perder porque a los borrachos los vamo' a correr"
"boca juniors";"la 12";"si te vas yo tambien me voy";"de chico te vengo a ver y de vos me enamoré la azul y oro es mi pasión lo llevo en el corazón vamos los bosteros vamos a ganar es un sentimiento no puedo parar dale bo dale dale bo dale bo dale dale bo campeón la vuelta vamos a dar la 12 va festejar"
"boca juniors";"la 12";"siempre estare a tu lado boca juniors querido";"somos de la gloriosa banda de boca juniors la que llena la cancha la mas grande del mundo... a pesar de los gases y los palos recibidos siempre estaré a tu lado boca juniors querido boca juniors querido..."
"boca juniors";"la 12";"solo le pido a dios que se mueran todos los chilenos";"solo le pido a dios que se mueran todos los chilenos soy bostero y de argentina no se olvida la traicion a las malvinas"
"boca juniors";"la 12";"somos de la gloriosa numero doce";"somos de la gloriosa numero doce la que lo sigue a boca y no pide nada aunque vayas perdiendo sigue alentando porque a pesar de todo te sigue amando numero doce"
"boca juniors";"la 12";"son los putos de riber los que corren siempre con la 12";"che gallina ya nos vamos a ver de nuevo vayan comprando el cajón para el tercero ... los de river con boca nunca se plantan nos tienen miedo les faltan huevos para el combate con los bosteros son los putos de river los que corren siempre con la 12 los que piden custodia cuando van a jugar a la boca corriste en mar del plata por favor me pediste en mendoza gallina yo me pregunto cuando te vas a plantar en la boca"
"boca juniors";"la 12";"soy bostero es un sentimiento";"ole ole ole  ole ole ole ola  ole ole ole  cada dia te quiero mas  soy bostero  es un sentimiento  no puedo parar"
"boca juniors";"la 12";"soy de boca desde que estaba en la cuna";"soy de boca desde que estaba en la cuna  a boca junior yo lo sigo a donde va  este año de la mano de la 12  todos juntos a la vuelta vamo a dar"
"boca juniors";"la 12";"soy del barrio de la boca";"soy del barrio de la boca y siempre te voy a seguir en las malas a todas partes las buenas ya van a venir no somos como la academia no somos como el ciclón a boca lo llevo en la sangre lo llevo en el corazón"
"boca juniors";"la 12";"todos de la cabeza nadie la puede parar";"y vamos los xenizes que la 12 te va alentar...  todos de la cabeza nadie la puede parar  vamo a salir campeones y una gayina va morir..  dale bo siempre te voy a seguir..."
"boca juniors";"la 12";"va a ser un dia especial";"va a ser un dia especial no se lo vaya a perder riber va a correr la yuta tambien"
"boca juniors";"la 12";"vamo a salir campeones y una gallina va morir";"y vamos los xenizes que la 12 te va alentar  todos de la cabeza nadie la puede parar  vamo a salir campeones y una gallina va morir dale bo siempre te voy a seguir"
"boca juniors";"la 12";"vamos boca juniors";" "
"boca juniors";"la 12";"vamos xeneizes";"desde pendejo yo te vengo a ver y me persigue la policia no se asta cuando me van a correr no se dan cuenta que vos sos mi vida vamos xeneizes que hay que poner mas huevos con esta hinchada tenes que ser primero"
"boca juniors";"la 12";"vamos xeneizes que tenemos que ganar";"vamos xeneizes que tenemos que ganar esta hinchadaaaa no te deja de alentar"
"boca juniors";"la 12";"vayas donde vayas voy a ir";"vayas donde vayas voy a ir vos sos la razon de mi existir te llevamos en el corazon boca yo te qiero ver campeon yo soy asi bostero soy de la cabeza siempre voy vos sos asi che river plate el que no para de correr"
"boca juniors";"la 12";"vieja querida me tenes que perdonar";"vieja querida me tenes que perdonar el domingo! junto a boca voy a estar!"
"boca juniors";"la 12";"y vamos los xeneizes que la doce te va a alentar";"y vamos los xeneizes que la doce te va a alentar todos de la cabeza nadie la puede parar! vamos a salir campeones y una gallina va a morir dale booo siempre te voy a seguir"
"boca juniors";"la 12";"yo no soy como esos que se quedan en casa";"yo no soy como esos que se quedan en casa escuchando la radio para ver lo que pasa yo soy hincha de boca no me cabe ninguna si me andan buscando estoy en la tribuna estoy en la tribuna"
"boca juniors";"la 12";"yo paro en la doce la hinchada mas loca";"yo paro en de la 12 la hinchada mas loca que va a todas partes siguiendo a boca que tenemos aguante ya no quedan dudas hacemos una fiesta en cada tribuna a mi no me importa que vayas primero yo lo sigo a boca por que yo lo quiero yo no soy amargo como las gallinas por estos colores yo dejo la vida boca juniors yo te quiero te pido que pongas huevos esta pasion se lleva en el corazon"
"boca juniors";"la 12";"yo quiero un trapo que tenga estos colores";"al gallinero ya se lo prendimos fuego  a san lorenzo lo corrimos en boedo  avellaneda lo defiende un policia  hay que puta que son las hinchadas unidas  quiero que sepan que el xeneize es mi alegria  aunque no entiendan que por boca doy la vida  cuando me muera no quiero nada de flores  yo quiero un trapo que tenga estos colores  y dale dale dale dale dale bo  y dale dale dale dale dale bo  y dale dale dale dale dale bo  y dale dale dale dale dale bo"
"boca juniors";"la 12";"yo sigo al xeneize por amor boca juniors me robaste el corazon";"yo sigo al xeneize por amor boca juniors me robaste el corazón mucha gente nunca va a entender a boca se lo lleva dentro de la piel sos mi vida sos mi enfermedad sos la droga que yo no puedo dejar porque nunca te abandonaré cuando muera desde el cielo yo te alentaré... yo te alentaré... llora riber porque descendió sufre porque es cagon me pregunto qué sintió jugar jugar todo el año en el nacional en el nacional..."
"river plate";"los borrachos del tablon";"ahi viene la hinchada";"ahi viene la hinchada que loca que esta ahi viene la hinchada que loca que esta vamo' vamo' millonario que tenemos que ganar"
"river plate";"los borrachos del tablon";"al millonario una ilusion solo le pido";"al millonario una ilusión solo le pido.. para los pibes que desde el cielo te alientan conmigo.. vos no los ves no los tocás pero estan presentes.. esos recuerdos inolvidables quedan en mi mentee.."
"river plate";"los borrachos del tablon";"ay che bostero mira que distintos somos";"ay che bostero mira que distintos somos ustedes van con la yuta nosotros aguantamos solos ay che bostero que diferencia que hay acá no hay banderas negras y la hinchada no se va vos sos vigilante esa es la verdad venis custodiado al monumental los pibes de river a la boca van todos caminando sin la federal"
"river plate";"los borrachos del tablon";"que feo ser bostero y boliviano";"¡qué feo ser bostero y boliviano!   y en una villa tener que vivir.  la hermana revolea la cartera   la vieja chupa p*jas por ahi.  bostero bostero bostero   bostero no lo pienses más.  andate a vivir a bolivia   toda tu familia está allá. "
